X,...1.y,targets,target.id,target.class,drug_id,Name,Synonyms,Targets,Target.pathway,Targets2,PubCHEM,Sample.Size,Count,X,X.1,development
SB590885,542,NA,NA,NA,1061,SB590885,SB-590885,BRAF,ERK MAPK signaling,BRAF,11316960,GDSC1,910,SANGER,495,nd
SCH-529074,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SCH-79797,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
semagacestat,545,Gamma-secretase,Q96BI3||Q8WW43||Q9NZ42||Q92542||P49768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
shikonin,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SID 26681509,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Sildenafil,553,"CGMP-specific 3',5'-cyclic phosphodiesterase",O76074,Phosphoric diester hydrolases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
sitagliptin,556,Dipeptidyl peptidase IV,P27487,Peptidase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SJ-172550,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
skepinone-L,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SKI-II,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SL 0101-1,560,NA,NA,NA,1039,SL0101,"SL-0101, SL 0101-1","RSK, AURKB, PIM1, PIM3","Other, kinases","RSK, AURKB, PIM1, PIM3",10459196,GDSC1,931,SANGER,495,nd
SMER-3,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SNX-2112,564,Heat shock protein HSP90,NA,NA,328,SNX-2112,SNX 2112,HSP90,Protein stability and degradation,HSP90,24772860,GDSC1,908,MGH,495,nd
Sorafenib,566,Vascular endothelial growth factor receptor 2;Beta platelet-derived growth factor receptor;Mast/stem cell growth factor receptor,P35968;P09619;P10721,Kinase,1085,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006","PDGFR, KIT, VEGFR, RAF","Other, kinases","PDGFR, KIT, VEGFR, RAF",216239,GDSC2,758,SANGER,495,nd
spautin-1,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SR-II-138A,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SR1001,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SR8278,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SRT-1720,572,NAD-dependent deacetylase sirtuin-1,Q96EB6,Carbon-nitrogen hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
staurosporine,573,Inhibitor of nuclear factor kappa B kinase beta subunit;Protein kinase C,O14920,Kinase,153,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251","PKC, PPK, FLT1, c-FGR, others",RTK signaling,"PKC, PPK, FLT1, c-FGR, others",several,GDSC1,889,MGH,495,nd
STF-31,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
STF-62247,576,NA,NA,NA,258,STF-62247,STF62247,Autophagy inducer,Other,Autophagy inducer,704473,GDSC1,917,MGH,495,nd
SU11274,577,Hepatocyte growth factor receptor,P08581,Kinase,285,SU11274,NA,MET,RTK signaling,MET,NA,GDSC1,925,MGH,495,nd
SZ4TA2,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
T0901317,581,Oxysterols receptor LXR,NA,Nuclear hormone receptor,333,T0901317,"TO-901317, TO901317","LXR, FXR",Other,"LXR, FXR",447912,GDSC1,914,MGH,495,nd
TAE684,584,Insulin receptor,P06213,Kinase,35,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684",ALK,RTK signaling,ALK,16038120,GDSC1,405,MGH,495,nd
TG-100-115,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
TG-101348,594,Tyrosine-protein kinase JAK2,O60674,Kinase,306,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503",JAK2,"Other, kinases",JAK2,16722836,GDSC1,921,MGH,495,nd
thapsigargin,596,Sarcoplasmic/endoplasmic reticulum calcium ATPase,NA,Acid anhydrides hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
THZ-2-102-1,597,NA,NA,NA,346,THZ-2-102-1,NA,CDK7,Cell cycle,CDK7,none,GDSC1,897,MGH,495,nd
THZ-2-49,598,NA,NA,NA,344,THZ-2-49,NA,CDK9,Cell cycle,CDK9,none,GDSC1,906,MGH,495,nd
tigecycline,599,30S ribosomal subunit,F4NA87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Tipifarnib,57,NA,NA,NA,204,Tipifarnib,Zarnestra,Farnesyl-transferase (FNTA),Other,Farnesyl-transferase (FNTA),159324,GDSC1,879,MGH,495,nd
TKI258,602,FGF-3 receptor;Platelet-derived growth factor receptor,P22607,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
TL-1-85,603,NA,NA,NA,261,TL-1-85,NA,TAK,"Other, kinases",TAK,none,GDSC1,919,MGH,495,nd
TL-2-105,604,NA,NA,NA,211,TL-2-105,NA,not defined,Other,not defined,none,GDSC1,922,MGH,495,nd
triazolothiadiazine,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
trifluoperazine,59,Calmodulin,P62158,Calmodulin-dependent secretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
triptolide,611,Nuclear factor NF-kappa-B,Q00653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
TW 37,613,NA,NA,NA,1149,TW 37,"TW37, TW-37","BCL2, BCL-XL, MCL1",Apoptosis regulation,"BCL2, BCL-XL, MCL1",11455910,GDSC1,941,SANGER,495,nd
UNC0321,615,euchromatic histone-lysine N-methyltransferase 2,Q96KQ7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
UNC0638,616,euchromatic histone-lysine N-methyltransferase 2;euchromatic histone-lysine N-methyltransferase 1,Q96KQ7;Q9H9B1,NA,1236,UNC0638,"UNC-0638, UNC 0683",G9a and GLP methyltransferases,Chromatin histone methylation,G9a and GLP methyltransferases,46224516,GDSC1,929,SANGER,495,nd
VAF-347,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
valdecoxib,620,Prostaglandin G/H synthase 2,P35354,Oxidoreductases acting on paired donors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
VER-155008,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
VNLG/124,624,NA,NA,NA,271,VNLG/124,HDAC inhibitor XV,"HDAC,RAR",Chromatin histone acetylation,"HDAC,RAR",24894414,GDSC1,915,MGH,495,nd
vorapaxar,625,Thrombin receptor,P25116,GPCR rhodopsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Vorinostat,626,Histone deacetylase 1,Q13547,Carbon-nitrogen hydrolase,1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,"HDAC inhibitor Class I, IIa, IIb, IV",5311,GDSC2,759,SANGER,495,nd
VU0155056,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
VX-680,630,Lck tyrosine kinase;Aurora kinase A;Aurora kinase B,P06239;O14965;Q96GD4,Kinase,1096,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68","AURKA, AURKB, AURKC, others",Mitosis,"AURKA, AURKB, AURKC, others",5494449,GDSC2,49,SANGER,495,nd
VX-702,631,Mitogen-activated protein kinase 14,Q16539,Kinase,1028,VX-702,"VX702, VX 702",p38,JNK and p38 signaling,p38,10341154,GDSC1,943,SANGER,495,nd
WAY-362450,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
WH-4-023,633,Proto-oncogene tyrosine-protein kinase SRC;Lck tyrosine kinase,P12931;P06239,Kinase,56,WH-4-023,KIN001-112,"SRC, LCK","Other, kinases","SRC, LCK",11844351,GDSC1,397,MGH,495,nd
WP1130,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
WZ-1-84,635,NA,NA,NA,59,WZ-1-84,KIN001-123,BMX,"Other, kinases",BMX,49821040,GDSC1,400,MGH,495,nd
WZ3105,636,NA,NA,NA,252,WZ3105,NA,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",Other,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",none,GDSC1,921,MGH,495,nd
WZ4002,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
WZ8040,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
XL-184,640,NA,NA,NA,249,Cabozantinib,"BMS-907351, XL-184, Cometriq","VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",RTK signaling,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",25102847,GDSC1,918,MGH,495,nd
XL765,641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
XMD11-85h,642,NA,NA,NA,1158,XMD11-85h,NA,"BRSK2, FLT4, MARK4, PRKCD, RET, SRPK1","Other, kinases","BRSK2, FLT4, MARK4, PRKCD, RET, SRPK1",none,GDSC1,495,SANGER,495,nd
XMD13-2,643,NA,NA,NA,330,XMD13-2,NA,RIPK1,Apoptosis regulation,RIPK1,none,GDSC1,920,MGH,495,nd
XMD14-99,644,NA,NA,NA,253,XMD14-99,NA,"ALK, CDK7, LTK, others","Other, kinases","ALK, CDK7, LTK, others",none,GDSC1,921,MGH,495,nd
XMD15-27,645,NA,NA,NA,332,XMD15-27,NA,CAMK2,"Other, kinases",CAMK2,none,GDSC1,921,MGH,495,nd
XMD8-85,646,NA,NA,NA,106,XMD8-85,ERK5-IN-1,"ERK5, BET",Other,"ERK5, BET",46844147,GDSC1,397,MGH,495,nd
XMD8-92,647,"tyrosine kinase, non-receptor, 1;polo-like kinase 4;mitogen-activated protein kinase 7;doublecortin-like kinase 2",Q13470;O00444;Q13164;Q8N568,NA,1164,XMD8-92,XMD 8-92,MAPK7,ERK MAPK signaling,MAPK7,46843772,GDSC1,496,SANGER,495,nd
Y-39983,649,Rho associated protein kinase,NA,NA,309,Y-39983,NA,ROCK,Cytoskeleton,ROCK,9810884,GDSC1,918,MGH,495,nd
YK 4-279,650,NA,NA,NA,1239,YK-4-279,YK 4-279,RNA helicase A,Other,RNA helicase A,44632017,GDSC2,753,SANGER,495,nd
YL54,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
YM-155,652,NA,NA,NA,1941,Sepantronium bromide,"YM155, YM-155, YM 155",BIRC5,Apoptosis regulation,BIRC5,11178236,GDSC2,753,SANGER,495,nd
YM201636,653,NA,NA,NA,310,YM201636,"YM-201636, YM 201636",PIKFYVE,PI3K/MTOR signaling,PIKFYVE,9956222,GDSC1,919,MGH,495,nd
Z-LLNle-CHO,654,NA,NA,NA,45,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",gamma-secretase,Other,gamma-secretase,16760646,GDSC1,400,MGH,495,nd
Zebularine,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ZG-10,656,NA,NA,NA,1161,ZG-10,NA,JNK1,JNK and p38 signaling,JNK1,none,GDSC1,495,SANGER,495,nd
Zibotentan,657,Endothelin-1 receptor,P25101,GPCR rhodopsin,266,Zibotentan,"ZD4054, ZD-4054",Endothelin-1 receptor (EDNRA),Other,Endothelin-1 receptor (EDNRA),9910224,GDSC1,919,MGH,495,nd
ZM-447439,658,Aurora kinase A,O14965,Kinase,1050,ZM447439,"ZM-447439, ZM 447439","AURKA, AURKB",Mitosis,"AURKA, AURKB",9914412,GDSC2,48,SANGER,495,nd
(5Z)-7-Oxozeaenol,65,TAK,NA,NA,1242,(5Z)-7-Oxozeaenol,"5Z-7-Oxozeaenol, LL-Z1640-2",TAK1,"Other, kinases",TAK1,9863776,GDSC1,914,SANGER,495,probe
BX-912,163,Vascular endothelial growth factor receptor 2;Glycogen synthase kinase-3 beta;Cell division protein kinase 2;3-phosphoinositide dependent protein kinase-1;Serine/threonine-protein kinase Chk1;Protein kinase A,P35968;P49841;P24941;O15530;O14757;Q56921,Kinase,222,BX-912,NA,PDK1 (PDPK1),Metabolism,PDK1 (PDPK1),11754511,GDSC1,921,MGH,495,probe
Camptothecin,168,DNA topoisomerase I;Toposisomerase-1,Q969P6;P11387,DNA topoisomerase,1494,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",TOP1,DNA replication,TOP1,104842,GDSC1,954,SANGER,495,probe
Cyclopamine,217,smoothened receptor,Q99835,GPCR frizzled,17,Cyclopamine,NA,SMO,Other,SMO,several,GDSC1,397,MGH,495,probe
erastin,238,Histamine H1 receptor,P35367,GPCR rhodopsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
GSK-1904529A,272,IGF,NA,NA,1093,GSK1904529A,"GSK-1904529A, GSK 1904529A","IGF1R, IR",IGF1R signaling,"IGF1R, IR",25124816,GDSC2,802,SANGER,495,probe
GSK-J4,275,JMJD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
GSK269962A,285,Rho-associated protein kinase 1;Rho associated protein kinase 2,Q13464;O75116,Kinase,1192,GSK269962A,GSK 269962A,"ROCK1, ROCK2",Cytoskeleton,"ROCK1, ROCK2",16095342,GDSC2,49,SANGER,495,probe
I-BET151,304,Bromodomain-containing protein 2;Bromodomain-containing protein 4;Bromodomain-containing protein 3,P25440;O60885;Q15059,Bromodomain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
IOX2,311,HIF prolyl hydroxylase-2;lysine (K)-specific demethylase 5C;lysine (K)-specific demethylase 2A,Q9GZT9;P41229;Q9Y2K7,Oxidoreductases acting on paired donors,1230,IOX2,"IOX-2, IOX 2, AK176060",EGLN1,Other,EGLN1,54685215,GDSC1,928,SANGER,495,probe
JQ12,331,BET,NA,NA,164,JQ12,NA,"HDAC1, HDAC2",Chromatin histone acetylation,"HDAC1, HDAC2",none,GDSC1,882,MGH,495,probe
KU-60019,352,ATM serine/threonine kinase,Q13315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
MST-312,405,Telomerase,NA,NA,1930,Telomerase Inhibitor IX,"MST-312, MST 312, MST312",Telomerase,Genome integrity,Telomerase,10385095,GDSC2,753,SANGER,495,probe
Nutlin-3,440,Cellular tumor antigenp53;mRNA of Human mdm2,P04637;Q00987,Carbon-nitrogen ligase,1047,Nutlin-3a (-),NA,MDM2,p53 pathway,MDM2,11433190,GDSC2,774,SANGER,495,probe
PF-4800567 hydrochloride,478,CK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
PFI-1,483,Bromodomain-containing protein 4,O60885,Bromodomain,1219,PFI-1,NA,BRD4,Chromatin other,BRD4,71271629,GDSC1,929,SANGER,495,probe
S-Trityl-L-cysteine,530,Eg,NA,NA,41,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",KIF11,Mitosis,KIF11,76044,GDSC1,399,MGH,495,probe
SGC0946,548,DOT1L,Q8TEK3,Methyltransferase superfamily,1264,SGC0946,NA,DOT1L,Chromatin histone methylation,DOT1L,56962337,GDSC1,910,SANGER,495,probe
StemRegenin 1,574,AHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
TGX221,595,Phosphoinositide 3 kinase;PI3K beta,P48736;P42338,Kinase,94,TGX221,"TGX-221, Tgx 221",PI3Kbeta,PI3K/MTOR signaling,PI3K,9907093,GDSC1,399,MGH,495,probe
TPCA-1,607,Inhibitor of nuclear factor kappa-B kinase,Q14164,Kinase,305,TPCA-1,NA,IKK2,"Other, kinases",IKK2,9903786,GDSC1,919,MGH,495,probe
tubastatin A,612,HDAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probe
UNC1215,618,l(3)mbt-like 3 (Drosophila),Q96JM7,NA,1262,UNC1215,UNC-1215,L3MBTL3,Chromatin other,L3MBTL3,57339144,GDSC1,911,SANGER,495,probe
VX-11e,629,ERK,NA,NA,2096,VX-11e,"VX11e, VX11e",ERK2,ERK MAPK signaling,ERK2,11634725,GDSC2,746,SANGER,495,probe
XAV-939,639,Tankyrase,NA,NA,1268,XAV939,"NVP-XAV939, XAV-939, XAV 939","TNKS1, TNKS2",WNT signaling,"TNKS1, TNKS2",2726824,GDSC2,729,SANGER,495,probe
